,postal_code,city_name,type_of_property,price,number_of_rooms,house_area,fully_equipped_kitchen,open_fire,terrace,garden,number_of_facades,swimming_pool,state_of_the_building,construction_year,longitude,lattitude,province,region
0,1050,Ixelles,apartment,150000,1,36,1,0,0,0,4,0,to renovate,1968,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
1,1050,Ixelles,apartment,195000,1,37,1,0,1,0,2,0,as new,2018,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
2,1050,Ixelles,apartment,165000,1,34,1,0,0,0,2,0,to renovate,1968,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
3,1050,Ixelles,apartment,200000,1,75,1,0,0,0,2,0,as new,1948,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
4,1050,Ixelles,apartment,185000,0,31,1,0,0,0,2,0,good,2013,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
5,1050,Ixelles,apartment,185000,1,43,1,0,1,0,1,0,unknown,1965,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
6,1050,Ixelles,apartment,169000,0,40,0,0,0,0,1,0,unknown,1964,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
7,1050,Ixelles,apartment,159000,1,34,1,0,1,1,2,0,good,1976,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
8,1050,Ixelles,apartment,170000,0,55,1,0,0,0,0,0,unknown,1966,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
9,1050,Ixelles,apartment,162000,1,53,1,0,1,0,0,0,to renovate,1978,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
10,1050,Ixelles,apartment,175000,1,65,1,0,0,0,0,0,good,1885,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
11,1050,Ixelles,apartment,170000,0,32,1,0,0,0,0,0,good,1969,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
12,1050,Ixelles,apartment,192000,1,71,0,0,0,0,0,0,to renovate,1938,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
13,1050,Ixelles,apartment,160000,1,38,1,0,0,0,0,0,good,1983,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
14,1050,Ixelles,apartment,215000,0,40,1,0,1,0,1,0,as new,2018,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
15,1050,Ixelles,apartment,220000,0,49,1,0,0,1,2,0,as new,2019,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
16,1050,Ixelles,apartment,210000,1,50,1,0,0,0,3,0,good,1966,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
17,1050,Ixelles,apartment,215000,1,55,1,0,0,0,0,0,good,1977,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
18,1050,Ixelles,apartment,215000,1,52,1,0,1,0,0,0,as new,1970,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
19,1050,Ixelles,apartment,220000,0,49,1,0,0,1,0,0,as new,2019,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
20,1050,Ixelles,apartment,250000,0,43,0,0,1,0,2,0,good,1970,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
21,1050,Ixelles,apartment,215000,0,41,1,0,0,0,0,0,as new,2018,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
22,1050,Ixelles,apartment,235000,1,80,0,0,0,0,2,0,good,1933,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
23,1050,Ixelles,apartment,240000,2,85,0,0,0,0,0,0,to renovate,1961,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
24,1050,Ixelles,apartment,235000,1,48,1,1,1,1,1,0,as new,1974,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
25,1050,Ixelles,apartment,220000,1,75,0,0,0,0,0,0,good,1961,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
26,1050,Ixelles,apartment,220000,1,65,1,0,0,0,1,0,good,1940,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
27,1050,Ixelles,apartment,209000,1,50,0,0,1,0,0,0,good,1980,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
28,1050,Ixelles,apartment,248000,1,70,1,0,1,0,2,0,unknown,1962,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
29,1050,Ixelles,apartment,280000,2,97,1,0,1,0,0,0,to renovate,1956,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
30,1050,Ixelles,apartment,283500,0,43,1,0,1,0,0,0,as new,2020,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
31,1050,Ixelles,apartment,296500,0,43,1,0,1,0,0,0,as new,2019,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
32,1050,Ixelles,apartment,288500,0,43,1,0,1,0,0,0,as new,2020,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
33,1050,Ixelles,apartment,290000,2,93,1,0,1,0,2,0,to renovate,1961,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
34,1050,Ixelles,apartment,283500,0,43,1,0,1,0,0,0,as new,2021,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
35,1050,Ixelles,apartment,260000,0,60,1,0,1,0,2,0,to renovate,1903,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
36,1050,Ixelles,apartment,300000,2,75,1,0,0,0,0,0,good,2000,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
37,1050,Ixelles,apartment,288500,0,43,0,0,1,0,2,0,as new,2021,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
38,1050,Ixelles,apartment,295000,1,60,0,0,0,0,2,0,unknown,1979,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
39,1050,Ixelles,apartment,290000,2,60,0,0,1,0,2,0,good,1930,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
40,1050,Ixelles,apartment,298000,2,70,0,0,0,0,0,0,good,1970,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
41,1050,Ixelles,apartment,288000,1,75,1,0,1,0,2,0,good,1937,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
42,1050,Ixelles,apartment,257000,1,60,1,0,0,0,2,0,unknown,1960,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
43,1050,Ixelles,apartment,290000,1,45,0,0,0,0,1,0,unknown,1974,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
44,1050,Ixelles,apartment,255000,1,56,1,0,0,0,2,0,good,1964,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
45,1050,Ixelles,apartment,289000,2,91,0,0,1,0,3,0,unknown,1974,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
46,1050,Ixelles,apartment,290000,1,70,1,0,0,0,2,0,as new,1958,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
47,1050,Ixelles,apartment,289000,2,85,1,0,1,0,2,0,unknown,1964,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
48,1050,Ixelles,apartment,315000,2,91,1,0,1,0,2,0,good,2001,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
49,1050,Ixelles,apartment,315000,2,89,0,0,0,0,2,0,unknown,1960,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
50,1050,Ixelles,apartment,345000,1,82,1,0,1,0,2,0,unknown,2018,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
51,1050,Ixelles,apartment,320000,2,90,1,0,0,0,2,0,good,1978,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
52,1050,Ixelles,apartment,340000,2,75,1,0,1,0,2,0,good,1930,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
53,1050,Ixelles,apartment,350000,2,85,0,0,0,0,2,0,good,1930,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
54,1050,Ixelles,apartment,345000,2,96,1,0,1,0,2,0,good,1950,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
55,1050,Ixelles,apartment,339000,2,90,1,0,1,0,0,0,good,2003,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
56,1050,Ixelles,apartment,305000,1,59,1,0,1,0,1,0,as new,2007,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
57,1050,Ixelles,apartment,310000,2,85,1,0,0,0,2,0,as new,2005,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
58,1050,Ixelles,apartment,329000,1,105,1,0,0,0,0,0,as new,1985,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
59,1050,Ixelles,apartment,330000,3,120,0,0,0,0,2,0,to renovate,1920,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
60,1050,Ixelles,apartment,358000,1,69,1,0,1,0,3,0,as new,1930,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
61,1050,Ixelles,apartment,365000,2,86,1,0,1,0,2,0,unknown,1950,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
62,1050,Ixelles,apartment,375000,2,103,1,0,1,0,2,0,good,1958,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
63,1050,Ixelles,apartment,385000,1,72,1,0,1,0,0,0,good,1962,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
64,1050,Ixelles,apartment,375000,2,85,1,0,0,0,2,0,as new,1929,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
65,1050,Ixelles,apartment,395000,2,91,1,0,1,1,0,0,good,1979,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
66,1050,Ixelles,apartment,385000,2,105,1,0,1,0,2,0,as new,1948,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
67,1050,Ixelles,apartment,375000,1,79,0,0,1,0,2,0,unknown,2016,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
68,1050,Ixelles,apartment,390000,2,95,1,0,0,0,2,0,to renovate,1939,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
69,1050,Ixelles,apartment,395000,2,110,1,0,1,0,2,0,as new,2006,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
70,1050,Ixelles,apartment,359000,3,105,1,1,0,0,2,0,unknown,1958,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
71,1050,Ixelles,apartment,389000,2,97,1,0,1,1,2,0,good,2001,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
72,1050,Ixelles,apartment,390000,2,90,1,0,1,0,0,0,good,2005,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
73,1050,Ixelles,apartment,360000,3,106,1,0,1,0,2,0,good,1960,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
74,1050,Ixelles,apartment,385000,2,75,1,0,1,0,3,0,good,2005,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
75,1050,Ixelles,apartment,375000,2,100,0,0,1,0,2,0,as new,1930,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
76,1050,Ixelles,apartment,410000,1,70,1,0,1,0,2,0,just renovated,2020,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
77,1050,Ixelles,apartment,450000,2,120,1,0,1,0,0,0,as new,2012,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
78,1050,Ixelles,apartment,449000,2,140,1,0,1,1,2,0,as new,1947,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
79,1050,Ixelles,apartment,450000,2,115,1,0,1,0,2,0,as new,2002,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
80,1050,Ixelles,apartment,445000,2,120,1,0,1,0,3,0,good,1937,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
81,1050,Ixelles,apartment,419000,2,92,1,0,0,0,2,0,as new,2020,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
82,1050,Ixelles,apartment,425000,2,85,1,0,1,0,2,0,just renovated,1910,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
83,1050,Ixelles,apartment,435000,2,108,1,0,1,0,0,0,just renovated,1998,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
84,1050,Ixelles,apartment,450000,3,155,1,0,1,0,2,0,just renovated,1899,4.3815707,50.8222854,Bruxelles-Capitale,Bruxelles
