city_name,postal_code,price_sqm,region,province,longitude,lattitude
's Gravenwezel,2970.0,2219.7850913212383,Flandre,Anvers,4.5556038,51.26248560000001
Aalbeke,8511.0,1193.9700197983618,Flandre,Flandre-Occidentale,3.2186046321991,50.77745545
Aalst,9300.0,1620.4008093857549,Flandre,Flandre-Orientale,4.0396424203486,50.9429755
Aalter,9880.0,2479.9975038316943,Flandre,Flandre-Orientale,3.4176803282422,51.088195
Aartrijke,8211.0,1856.9346876311147,Flandre,Flandre-Occidentale,3.0913265545139,51.1180002
Aartselaar,2630.0,2149.1640817809794,Flandre,Anvers,4.3870241,51.133297
Abolens,4280.0,1722.3024632330576,Wallonie,Liège,5.1498313,50.6720609
Achel,3930.0,1680.117361478834,Flandre,Limbourg,5.479289572001799,51.2684314
Adegem,9991.0,1562.7498157248158,Flandre,Flandre-Orientale,3.4858471,51.2035291
Afsnee,9051.0,2255.0431232814108,Flandre,Flandre-Orientale,3.6575415863856,51.0299989
Agimont,5544.0,1308.5890354003327,Wallonie,Namur,4.7942801,50.16421
Aische-En-Refail,5310.0,1695.5609168228177,Wallonie,Namur,4.8359955,50.59886820000001
Aiseau,6250.0,1568.7177378769857,Wallonie,Hainaut,4.5870152000000015,50.4111232
Aisemont,5070.0,1529.9833922999135,Wallonie,Namur,4.6513189000000015,50.40485570000001
Alken,3570.0,1919.0222997610172,Flandre,Limbourg,5.3079873,50.8754731
Alleur,4432.0,1669.053381465557,Wallonie,Liège,5.5129926,50.6742549
Alsemberg,1652.0,2244.4027316756346,Flandre,Brabant flamand,4.3281703413079,50.7449476
Alveringem,8690.0,1274.9778052061079,Flandre,Flandre-Occidentale,2.7225688102727004,51.01509585
Ambly,6953.0,1856.3182868244132,Wallonie,Luxembourg,5.3142288,50.1441815
Ambresin,4219.0,1617.827970816932,Wallonie,Liège,5.0305133,50.6266779
Amonines,6997.0,1597.7562943595276,Wallonie,Luxembourg,5.557150900000001,50.26551970000001
Anderlecht,1070.0,2140.8771105221863,Bruxelles,Bruxelles-Capitale,4.3123401,50.8381411
Anderlues,6150.0,1119.065387486911,Wallonie,Hainaut,4.2696102,50.4079969
Andrimont,4821.0,1292.7040465369,Wallonie,Liège,5.8901888,50.4386821
Angleur,4031.0,1434.0116401758385,Wallonie,Liège,5.5954054000000015,50.6128164
Angre,7387.0,1102.4654470807855,Wallonie,Hainaut,3.6954509,50.36698300000001
Anloy,6890.0,1625.0770710869335,Wallonie,Luxembourg,5.2215609,49.94990429999999
Ans,4430.0,1325.4821799717731,Wallonie,Liège,5.5190612,50.6624326
Anseroeul,7750.0,1580.6940716261495,Wallonie,Hainaut,3.5205580000000003,50.728033
Anthisnes,4160.0,1097.7122314285343,Wallonie,Liège,5.5225260999999986,50.481662
Antoing,7640.0,1288.061313075402,Wallonie,Hainaut,3.4513116000000004,50.565911
Antwerpen,2031.3263157894737,2270.166947304741,Flandre,Anvers,4.3997081,51.2211097
Anvaing,7910.0,1256.615287280668,Wallonie,Hainaut,3.5617225,50.6817661
Appelterre-Eichem,9400.0,1619.2956383851972,Flandre,Flandre-Orientale,3.9673266115113,50.819114
Arbre,7811.0,1657.142857142857,Wallonie,Hainaut,3.8148309,50.6103517
Arbrefontaine,4990.0,1308.175911643952,Wallonie,Liège,5.8353999000000005,50.301260600000006
Ardooie,8850.0,1563.2729352386991,Flandre,Flandre-Occidentale,3.2045936674459,50.97076545
Arendonk,2370.0,1930.494014583118,Flandre,Anvers,5.0864557,51.3202315
Argenteau,4601.0,1315.7667390318636,Wallonie,Liège,5.686015,50.6957645
Arquennes,7181.0,2230.4894363497438,Wallonie,Hainaut,4.287514819651,50.5640405
Arville,6870.0,914.2830433316357,Wallonie,Luxembourg,5.3166577,50.0323986
As,3665.0,1329.269406392694,Flandre,Limbourg,5.572202585246202,51.0005396
Aspelare,9404.0,1779.4309463957468,Flandre,Flandre-Orientale,3.9584406,50.84216370000001
Asquillies,7040.0,1133.7406453890294,Wallonie,Hainaut,3.9570563,50.4020009
Asse,1730.0,2085.40406448583,Flandre,Brabant flamand,4.1804375072845,50.913594
Assebroek,8310.0,1992.1419537050608,Flandre,Flandre-Occidentale,3.2570785402002995,51.1933202
Assenede,9960.0,1554.8368338331522,Flandre,Flandre-Orientale,3.7568076657628,51.23004155
Assent,3460.0,1693.8904383851682,Flandre,Brabant flamand,5.0136688435307,50.94677135
Athus,6791.0,1769.5064582671569,Wallonie,Luxembourg,5.8317660999999985,49.5642065
Attenhoven,3404.0,1900.4941599281221,Flandre,Brabant flamand,5.100653433046401,50.7653693
Attenrode,3384.0,2661.9666276707103,Flandre,Brabant flamand,4.9167554140969,50.86946070000001
Attert,6717.0,2259.1446463040616,Wallonie,Luxembourg,5.787221700000001,49.7514982
Attre,7941.0,560.4246794871794,Wallonie,Hainaut,3.8410951,50.6102428
Aubange,6790.0,1852.9036157077737,Wallonie,Luxembourg,5.804352,49.5675296
Aubechies,7972.0,1544.5025545101703,Wallonie,Hainaut,3.6769173,50.573932
Aubel,4880.0,1597.500471024485,Wallonie,Liège,5.8585553,50.7041498
Auderghem,1160.0,3222.3360416872556,Bruxelles,Bruxelles-Capitale,4.4331389,50.8156571
Audregnies,7382.0,1233.3333333333333,Wallonie,Hainaut,3.7177788,50.3830135
Autre-Eglise,1367.0,1712.875039762048,Wallonie,Brabant wallon,4.9249295,50.6631583
